Authors;Author(s) ID;Title;Year;Source title;Cited by;DOI;Link;Affiliations;Authors with affiliations;Document Type;Publication Stage;Access Type;Source;EID
Zeilinger M.;"56451727000;";Digital Art as ‘Monetised Graphics’: Enforcing Intellectual Property on the Blockchain;2018;Philosophy and Technology;18;10.1007/s13347-016-0243-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043338162&doi=10.1007%2fs13347-016-0243-1&partnerID=40&md5=46cbc96eff89ec526beb156caa730a11;Department of English and Media, Anglia Ruskin University, East Road, Cambridge, CB1 1PT, United Kingdom;Zeilinger, M., Department of English and Media, Anglia Ruskin University, East Road, Cambridge, CB1 1PT, United Kingdom;Article;Final;Open Access;Scopus;2-s2.0-85043338162
Gürkaynak G., Yılmaz İ., Yeşilaltay B., Bengi B.;"55585528800;55585041300;56245658900;57202549292;";Intellectual property law and practice in the blockchain realm;2018;Computer Law and Security Review;6;10.1016/j.clsr.2018.05.027;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048718407&doi=10.1016%2fj.clsr.2018.05.027&partnerID=40&md5=75020a0b2196bbdb96af431c77a76a4d;ELIG Gürkaynak Attorneys-at-LawIstanbul, Turkey;"Gürkaynak, G., ELIG Gürkaynak Attorneys-at-LawIstanbul, Turkey; Yılmaz, İ., ELIG Gürkaynak Attorneys-at-LawIstanbul, Turkey; Yeşilaltay, B., ELIG Gürkaynak Attorneys-at-LawIstanbul, Turkey; Bengi, B., ELIG Gürkaynak Attorneys-at-LawIstanbul, Turkey";Article;Final;;Scopus;2-s2.0-85048718407
Coeckelbergh M., DuPont Q., Reijers W.;"22233758600;55788249400;56872884900;";Towards a Philosophy of Financial Technologies;2018;Philosophy and Technology;2;10.1007/s13347-017-0261-7;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043317031&doi=10.1007%2fs13347-017-0261-7&partnerID=40&md5=015c762b6addc94afaa0d4a47a1089d0;"Department of Philosophy, University of Vienna, Universitätsstrasse 7 (NIG), Vienna, 1010, Austria; Rutgers University, Rutgers–New Brunswick, 7 College AveNJ  08901, United States; ADAPT Centre, School of Computing, Dublin City University, Glasnevin, Dublin, Ireland";"Coeckelbergh, M., Department of Philosophy, University of Vienna, Universitätsstrasse 7 (NIG), Vienna, 1010, Austria; DuPont, Q., Rutgers University, Rutgers–New Brunswick, 7 College AveNJ  08901, United States; Reijers, W., ADAPT Centre, School of Computing, Dublin City University, Glasnevin, Dublin, Ireland";Article;Final;;Scopus;2-s2.0-85043317031
Shatkovskaya T.V., Shumilina A.B., Nebratenko G.G., Isakova Ju.I., Sapozhnikova E.Yu.;"57193381568;57204624220;57204623760;57204626194;57204618485;";Impact of technological blockchain paradigm on the movement of intellectual property in the digital space;2018;European Research Studies Journal;2;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056419059&partnerID=40&md5=ca31ef37e049b2b718e0b19581924d7d;"Russian Presidential Academy of National Economy and Public Administration, Rostov-on-Don, Russian Federation; Department ""Commercial and Entrepreneurial Law"", Don State Technical University, Russian Federation; Department of Theory of State and Law, Rostov Law Institute of the Interior of the Russian Federation, Russian Federation; Faculty of Law, Department “Criminal law and Criminalistics”, Don State Technical University, Rostov-on-Don, Russian Federation; Commercial and Business Law, Don State Technical University, Rostov-on-Don, Russian Federation";"Shatkovskaya, T.V., Russian Presidential Academy of National Economy and Public Administration, Rostov-on-Don, Russian Federation; Shumilina, A.B., Department ""Commercial and Entrepreneurial Law"", Don State Technical University, Russian Federation; Nebratenko, G.G., Department of Theory of State and Law, Rostov Law Institute of the Interior of the Russian Federation, Russian Federation; Isakova, Ju.I., Faculty of Law, Department “Criminal law and Criminalistics”, Don State Technical University, Rostov-on-Don, Russian Federation; Sapozhnikova, E.Yu., Commercial and Business Law, Don State Technical University, Rostov-on-Don, Russian Federation";Article;Final;;Scopus;2-s2.0-85056419059
Di Francesco Maesa D., Mori P.;"57193156981;15127782100;";Blockchain 3.0 applications survey;2020;Journal of Parallel and Distributed Computing;1;10.1016/j.jpdc.2019.12.019;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077736981&doi=10.1016%2fj.jpdc.2019.12.019&partnerID=40&md5=d1f00cd0947a54dba91b19bbb00eb628;"Department of Computer Science and Technology, University of Cambridge, United Kingdom; Istituto di Informatica e Telematica, Consiglio Nazionale delle Ricerche, Pisa, Italy";"Di Francesco Maesa, D., Department of Computer Science and Technology, University of Cambridge, United Kingdom; Mori, P., Istituto di Informatica e Telematica, Consiglio Nazionale delle Ricerche, Pisa, Italy";Article;Final;;Scopus;2-s2.0-85077736981
Alnafrah I., Bogdanova E., Maximova T.;"57208145847;57195754180;7007062240;";Text mining as a facilitating tool for deploying blockchain technology in the intellectual property rights system;2019;International Journal of Intellectual Property Management;1;10.1504/IJIPM.2019.100207;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067680482&doi=10.1504%2fIJIPM.2019.100207&partnerID=40&md5=9bedb064f60400494b1d458b54219da3;Department of Intellectual Property and Innovation Management, Faculty of Technological Management and Innovation, ITMO University, Kronverkskiy Prospekt, 4, Saint Petersburg, 197101, Russian Federation;"Alnafrah, I., Department of Intellectual Property and Innovation Management, Faculty of Technological Management and Innovation, ITMO University, Kronverkskiy Prospekt, 4, Saint Petersburg, 197101, Russian Federation; Bogdanova, E., Department of Intellectual Property and Innovation Management, Faculty of Technological Management and Innovation, ITMO University, Kronverkskiy Prospekt, 4, Saint Petersburg, 197101, Russian Federation; Maximova, T., Department of Intellectual Property and Innovation Management, Faculty of Technological Management and Innovation, ITMO University, Kronverkskiy Prospekt, 4, Saint Petersburg, 197101, Russian Federation";Article;Final;;Scopus;2-s2.0-85067680482
Petrescu A.S., Panea O.;"57202958851;57202956482;";Natural flows: E-commerce, cyber-, bitcoin, blockchain;2018;Proceedings of the Romanian Academy Series A - Mathematics Physics Technical Sciences Information Science;1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050005766&partnerID=40&md5=32eca7de9b505c8a9d466487d18770cc;"InnovationTrek, 3212 Cass St., Omaha, NE  68131, United States; CoEvolve, 11 Eroii Sanitari Blvd., Bucharest, Bucharest, 050471, Romania";"Petrescu, A.S., InnovationTrek, 3212 Cass St., Omaha, NE  68131, United States; Panea, O., CoEvolve, 11 Eroii Sanitari Blvd., Bucharest, Bucharest, 050471, Romania";Article;Final;;Scopus;2-s2.0-85050005766
Somin S., Altshuler Y., Gordon G., Pentland A.S., Shmueli E.;"57203432946;14033708500;8927912400;7102755925;8925223000;";Network Dynamics of a Financial Ecosystem;2020;Scientific Reports;;10.1038/s41598-020-61346-y;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081720131&doi=10.1038%2fs41598-020-61346-y&partnerID=40&md5=9929461dda98be686a8ac37a6dd80da2;"Industrial Engineering Department, Tel Aviv University, Tel Aviv, Israel; MIT Media Lab, Cambridge, MA, United States; Endor Ltd., Tel Aviv, Israel";"Somin, S., Industrial Engineering Department, Tel Aviv University, Tel Aviv, Israel, MIT Media Lab, Cambridge, MA, United States; Altshuler, Y., MIT Media Lab, Cambridge, MA, United States, Endor Ltd., Tel Aviv, Israel; Gordon, G., Industrial Engineering Department, Tel Aviv University, Tel Aviv, Israel, Endor Ltd., Tel Aviv, Israel; Pentland, A.S., MIT Media Lab, Cambridge, MA, United States; Shmueli, E., Industrial Engineering Department, Tel Aviv University, Tel Aviv, Israel";Article;Final;Open Access;Scopus;2-s2.0-85081720131
Kudumakis P., Wilmering T., Sandler M., Rodriguez-Doncel V., Boch L., Delgado J.;"6602490025;36997647000;7202740804;35204031900;6506720750;8349341200;";The Challenge: From MPEG Intellectual Property Rights Ontologies to Smart Contracts and Blockchains [Standards in a Nutshell];2020;IEEE Signal Processing Magazine;;10.1109/MSP.2019.2955207;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080869708&doi=10.1109%2fMSP.2019.2955207&partnerID=40&md5=da8c09becb02c71bc1f695b87061837c;"QMedia, Queen Mary University of London, London, United Kingdom; Digital Music, Queen Mary University of London, London, United Kingdom; Artificial Intelligence, Technical University of Madrid, Madrid, Spain; Department of Research and Innovation, Radiotelevisione Italiana, Turin, Italy; Technical University of Catalonia, Barcelona, Spain";"Kudumakis, P., QMedia, Queen Mary University of London, London, United Kingdom; Wilmering, T., Digital Music, Queen Mary University of London, London, United Kingdom; Sandler, M., Digital Music, Queen Mary University of London, London, United Kingdom; Rodriguez-Doncel, V., Artificial Intelligence, Technical University of Madrid, Madrid, Spain; Boch, L., Department of Research and Innovation, Radiotelevisione Italiana, Turin, Italy; Delgado, J., Technical University of Catalonia, Barcelona, Spain";Article;Final;;Scopus;2-s2.0-85080869708
Xiao L., Huang W., Xie Y., Xiao W., Li K.-C.;"57216465677;56066202900;57201735007;57158266500;57212632002;";A Blockchain-Based Traceable IP Copyright Protection Algorithm;2020;IEEE Access;;10.1109/ACCESS.2020.2969990;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082305717&doi=10.1109%2fACCESS.2020.2969990&partnerID=40&md5=57b88d4f02eecdfc81bb1852fe7180d2;"Big Data Development and Research Center, Guangzhou College of Technology and Business, Guangzhou, 528138, China; School of Computer Science and Engineering, Hunan University of Science and Technology, Xiangtan, 411201, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, 410082, China; School of Software Engineering, Xiamen University of Technology, Xiamen, 361024, China; Department of Computer Science and Information Engineering, Providence University, Taichung, 43301, Taiwan";"Xiao, L., Big Data Development and Research Center, Guangzhou College of Technology and Business, Guangzhou, 528138, China, School of Computer Science and Engineering, Hunan University of Science and Technology, Xiangtan, 411201, China; Huang, W., School of Computer Science and Engineering, Hunan University of Science and Technology, Xiangtan, 411201, China, College of Computer Science and Electronic Engineering, Hunan University, Changsha, 410082, China; Xie, Y., School of Software Engineering, Xiamen University of Technology, Xiamen, 361024, China; Xiao, W., School of Software Engineering, Xiamen University of Technology, Xiamen, 361024, China; Li, K.-C., Department of Computer Science and Information Engineering, Providence University, Taichung, 43301, Taiwan";Article;Final;Open Access;Scopus;2-s2.0-85082305717
Minoli E., Dessouassi U.;"57203095556;57214363345;";Using Blockchain to Manage Production and Distribution;2020;SMPTE Motion Imaging Journal;;10.5594/JMI.2019.2951250;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078695136&doi=10.5594%2fJMI.2019.2951250&partnerID=40&md5=a5ab664feecd593f7068a1089cab36e6;"Groupe Média TFO's, Canada; TFO, Toronto, ON, Canada";"Minoli, E., Groupe Média TFO's, Canada; Dessouassi, U., TFO, Toronto, ON, Canada";Article;Final;;Scopus;2-s2.0-85078695136
Chi J., Lee J., Kim N., Choi J., Park S.;"56186371900;57214685199;57214686190;57214679260;40561657700;";Secure and reliable blockchain-based eBook transaction system for self-published eBook trading;2020;PLoS ONE;;10.1371/journal.pone.0228418;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078895464&doi=10.1371%2fjournal.pone.0228418&partnerID=40&md5=063a9e8dd227aec653ead6c85321e9bd;Department of Software, Konkuk University, Seoul, South Korea;"Chi, J., Department of Software, Konkuk University, Seoul, South Korea; Lee, J., Department of Software, Konkuk University, Seoul, South Korea; Kim, N., Department of Software, Konkuk University, Seoul, South Korea; Choi, J., Department of Software, Konkuk University, Seoul, South Korea; Park, S., Department of Software, Konkuk University, Seoul, South Korea";Article;Final;Open Access;Scopus;2-s2.0-85078895464
Hanaoka G., Sakai Y., Shimizu T., Shimoyama T., Shin S.H.;"6603682901;36669160300;57199506933;56240071000;9746134000;";A setup-free threshold encryption scheme for the bitcoin protocol and its applications;2020;IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences;;10.1587/transfun.2019CIP0018;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077499933&doi=10.1587%2ftransfun.2019CIP0018&partnerID=40&md5=a1d249056373354c3f017617c88e8b14;"National Institute of Advanced Industrial Science and Technology (AIST), Tokyo, 135-0064, Japan; FUJITSU Laboratories Ltd., Kashiwashi, 211-8588, Japan";"Hanaoka, G., National Institute of Advanced Industrial Science and Technology (AIST), Tokyo, 135-0064, Japan; Sakai, Y., National Institute of Advanced Industrial Science and Technology (AIST), Tokyo, 135-0064, Japan; Shimizu, T., FUJITSU Laboratories Ltd., Kashiwashi, 211-8588, Japan; Shimoyama, T., FUJITSU Laboratories Ltd., Kashiwashi, 211-8588, Japan; Shin, S.H., National Institute of Advanced Industrial Science and Technology (AIST), Tokyo, 135-0064, Japan";Article;Final;;Scopus;2-s2.0-85077499933
Johnson J.L., Manion S.;"57211334877;57214157105;";Blockchain in healthcare, research, and scientific publishing;2019;Medical Writing;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078357002&partnerID=40&md5=3576cdf4b439f97b505a7ddda16c44e9;"JLJ Consultancy B.V, Amsterdam, Netherlands; The Bronx, NY, United States";"Johnson, J.L., JLJ Consultancy B.V, Amsterdam, Netherlands; Manion, S., The Bronx, NY, United States";Article;Final;;Scopus;2-s2.0-85078357002
Modic D., Hafner A., Damij N., Cehovin Zajc L.;"55193455700;56304690600;15131200400;57195641173;";Innovations in intellectual property rights management: Their potential benefits and limitations;2019;European Journal of Management and Business Economics;;10.1108/EJMBE-12-2018-0139;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082841841&doi=10.1108%2fEJMBE-12-2018-0139&partnerID=40&md5=7269f85d407be9a9ec2578f64012de3f;"Nord University Business School, Bodø, Norway; Faculty of Information Studies in Novo Mesto, Novo Mesto, Slovenia; Newcastle Business School, Northumbria University, Newcastle upon Tyne, United Kingdom; Faculty of Computer and Information Science, Univerza v Ljubljani, Ljubljana, Slovenia";"Modic, D., Nord University Business School, Bodø, Norway; Hafner, A., Faculty of Information Studies in Novo Mesto, Novo Mesto, Slovenia; Damij, N., Newcastle Business School, Northumbria University, Newcastle upon Tyne, United Kingdom; Cehovin Zajc, L., Faculty of Computer and Information Science, Univerza v Ljubljani, Ljubljana, Slovenia";Article;Final;Open Access;Scopus;2-s2.0-85082841841
Singh B.P., Tripathi A.K.;"57209538382;57210912823;";Blockchain technology and intellectual property rights;2019;Journal of Intellectual Property Rights;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071853150&partnerID=40&md5=df65ac387c7ecbef85eeb19ce0c77215;IPO Building, Sector-14, Dwarka, New Delhi  110 075, India;"Singh, B.P., IPO Building, Sector-14, Dwarka, New Delhi  110 075, India; Tripathi, A.K., IPO Building, Sector-14, Dwarka, New Delhi  110 075, India";Article;Final;;Scopus;2-s2.0-85071853150
Maltseva V., Maltsev A.;"57194635778;57201427724;";"Blockchain and the future of global trade (review of the WTO report ""Can Blockchain revolutionize international trade?"") [Блокчейн и будущее международной торговли (Обзор доклада «Может ли блокчейн революционизировать мировую торговлю?»)]";2019;International Organisations Research Journal;;10.17323/1996-7845-2019-04-11;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078930245&doi=10.17323%2f1996-7845-2019-04-11&partnerID=40&md5=c02b99c8de5f4bd1b96ec866d590b6ac;"Centre for Skills Development and Vocational Education, Institute of Education, National Research University Higher School of Economics, 20 Myasnitskaya Str., Moscow, 101000, Russian Federation; Global Economy Department, Ural State University of Economics, 62 8 Marta Str., Yekaterinburg, 620144, Russian Federation; The Institute of Economics, Russian Academy of Sciences (Ural branch), 29 Moskovskaya Str., Yekaterinburg, 620014, Russian Federation; CRIISEA, University of Picardie Jules Verne, France; 10 Placette Laf leur BP 2716, Amiens, 80027, France";"Maltseva, V., Centre for Skills Development and Vocational Education, Institute of Education, National Research University Higher School of Economics, 20 Myasnitskaya Str., Moscow, 101000, Russian Federation; Maltsev, A., Global Economy Department, Ural State University of Economics, 62 8 Marta Str., Yekaterinburg, 620144, Russian Federation, The Institute of Economics, Russian Academy of Sciences (Ural branch), 29 Moskovskaya Str., Yekaterinburg, 620014, Russian Federation, CRIISEA, University of Picardie Jules Verne, France, 10 Placette Laf leur BP 2716, Amiens, 80027, France";Article;Final;Open Access;Scopus;2-s2.0-85078930245
Shatkovskaya T.V., Isayev I.A., Epifanova T.V., Ismailov M.A.;"57193381568;57209800934;57120161700;57202674219;";The application of legal-statistical method in analysing manufacturing property's institutional development;2019;International Journal of Economics and Business Administration;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069683886&partnerID=40&md5=fd6e286d33ce233aa6921fbbfddb25c4;"Russian Presidential Academy of National Economy and Public Administration, Rostov State University of Economics (RSUE), Rostov-on-Don, Russian Federation; Department of History of the State and Law of Kutafin, Moscow State Law University (MSAL), Russian Federation; Rostov State University of Economics (RSUE), Rostov-on-Don, Russian Federation; Department of theory and history of state and law, Chechen State University, Russian Federation";"Shatkovskaya, T.V., Russian Presidential Academy of National Economy and Public Administration, Rostov State University of Economics (RSUE), Rostov-on-Don, Russian Federation; Isayev, I.A., Department of History of the State and Law of Kutafin, Moscow State Law University (MSAL), Russian Federation; Epifanova, T.V., Rostov State University of Economics (RSUE), Rostov-on-Don, Russian Federation; Ismailov, M.A., Department of theory and history of state and law, Chechen State University, Russian Federation";Article;Final;;Scopus;2-s2.0-85069683886
Nam J.-H., Lee S.-J., Lee I.-G.;"57206697334;57206698508;56342496500;";IP dLedger: Decentralized ledger for intellectual property;2018;Journal of Advanced Research in Dynamical and Control Systems;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061854696&partnerID=40&md5=9e1a313063b99de152331cd784d90fc4;"Dept. of Convergence Security Engineering, Sungshin University, South Korea; Bomun-ro, 34da-gil, South Korea";"Nam, J.-H., Dept. of Convergence Security Engineering, Sungshin University, South Korea; Lee, S.-J., Bomun-ro, 34da-gil, South Korea; Lee, I.-G., Bomun-ro, 34da-gil, South Korea";Article;Final;;Scopus;2-s2.0-85061854696